file_name,thing_class,score,bbox
C:/R_projects/mothz/beetle_image_stack\frame_0000.jpg,beetle,0.5845078825950623,"[1022.40234375, 542.2601318359375, 1031.5811767578125, 559.4059448242188]"
C:/R_projects/mothz/beetle_image_stack\frame_0000.jpg,beetle,0.531857967376709,"[978.4197387695312, 515.665283203125, 992.0753784179688, 527.9248657226562]"
C:/R_projects/mothz/beetle_image_stack\frame_0000.jpg,beetle,0.4006000757217407,"[971.2830200195312, 552.480224609375, 983.2925415039062, 559.9320678710938]"
C:/R_projects/mothz/beetle_image_stack\frame_0000.jpg,beetle,0.3784365952014923,"[991.6038208007812, 536.6534423828125, 1001.2734375, 547.5875244140625]"
C:/R_projects/mothz/beetle_image_stack\frame_0000.jpg,beetle,0.3549756705760956,"[1020.2784423828125, 538.094970703125, 1034.0716552734375, 561.0484008789062]"
C:/R_projects/mothz/beetle_image_stack\frame_0000.jpg,beetle,0.34553632140159607,"[133.04766845703125, 1066.5045166015625, 143.71243286132812, 1079.8280029296875]"
C:/R_projects/mothz/beetle_image_stack\frame_0000.jpg,beetle,0.31484296917915344,"[927.219482421875, 463.0406799316406, 1076.28173828125, 613.5585327148438]"
C:/R_projects/mothz/beetle_image_stack\frame_0000.jpg,beetle,0.20424143970012665,"[1569.5556640625, 111.10640716552734, 1585.9661865234375, 182.6181182861328]"
C:/R_projects/mothz/beetle_image_stack\frame_0000.jpg,beetle,0.20123296976089478,"[1000.4107055664062, 509.20745849609375, 1015.294189453125, 523.5640869140625]"
C:/R_projects/mothz/beetle_image_stack\frame_0000.jpg,beetle,0.18216653168201447,"[872.60400390625, 462.3070983886719, 1148.4898681640625, 625.857421875]"
C:/R_projects/mothz/beetle_image_stack\frame_0001.jpg,beetle,0.5659746527671814,"[1022.5203247070312, 542.5208740234375, 1031.6513671875, 559.34033203125]"
C:/R_projects/mothz/beetle_image_stack\frame_0001.jpg,beetle,0.5134379863739014,"[978.5850219726562, 515.7301025390625, 991.8956909179688, 527.9359130859375]"
C:/R_projects/mothz/beetle_image_stack\frame_0001.jpg,beetle,0.38203340768814087,"[970.1576538085938, 553.3521728515625, 981.5751342773438, 560.3928833007812]"
C:/R_projects/mothz/beetle_image_stack\frame_0001.jpg,beetle,0.3539940118789673,"[991.4130249023438, 535.3010864257812, 1000.3565673828125, 546.0533447265625]"
C:/R_projects/mothz/beetle_image_stack\frame_0001.jpg,beetle,0.3301476836204529,"[133.0986785888672, 1065.59814453125, 144.6437225341797, 1079.8056640625]"
C:/R_projects/mothz/beetle_image_stack\frame_0001.jpg,beetle,0.3282960057258606,"[1020.3790893554688, 538.0584716796875, 1034.163818359375, 561.4197998046875]"
C:/R_projects/mothz/beetle_image_stack\frame_0001.jpg,beetle,0.29874029755592346,"[927.2254638671875, 463.2749938964844, 1076.9075927734375, 614.5341796875]"
C:/R_projects/mothz/beetle_image_stack\frame_0001.jpg,beetle,0.1648690104484558,"[1000.5272827148438, 508.6778869628906, 1013.0783081054688, 523.6393432617188]"
C:/R_projects/mothz/beetle_image_stack\frame_0001.jpg,beetle,0.14892978966236115,"[685.0314331054688, 78.45024871826172, 696.4136962890625, 91.60203552246094]"
C:/R_projects/mothz/beetle_image_stack\frame_0001.jpg,beetle,0.1453506201505661,"[688.7313842773438, 78.31373596191406, 697.5159912109375, 88.43965911865234]"
C:/R_projects/mothz/beetle_image_stack\frame_0002.jpg,beetle,0.554958701133728,"[1022.6200561523438, 542.8861083984375, 1031.6123046875, 559.3341674804688]"
C:/R_projects/mothz/beetle_image_stack\frame_0002.jpg,beetle,0.5216572880744934,"[978.2988891601562, 516.1019287109375, 991.9454956054688, 528.12890625]"
C:/R_projects/mothz/beetle_image_stack\frame_0002.jpg,beetle,0.4074352979660034,"[968.61279296875, 553.658203125, 980.366455078125, 560.489990234375]"
C:/R_projects/mothz/beetle_image_stack\frame_0002.jpg,beetle,0.33356496691703796,"[133.04541015625, 1065.4266357421875, 144.69923400878906, 1079.9522705078125]"
C:/R_projects/mothz/beetle_image_stack\frame_0002.jpg,beetle,0.315401166677475,"[990.57958984375, 534.6339721679688, 1000.4791259765625, 546.342041015625]"
C:/R_projects/mothz/beetle_image_stack\frame_0002.jpg,beetle,0.31528717279434204,"[1020.7059326171875, 538.0371704101562, 1034.0859375, 561.3995361328125]"
C:/R_projects/mothz/beetle_image_stack\frame_0002.jpg,beetle,0.3102107644081116,"[1799.954345703125, 831.9133911132812, 1814.1650390625, 845.974365234375]"
C:/R_projects/mothz/beetle_image_stack\frame_0002.jpg,beetle,0.30126070976257324,"[927.344482421875, 463.2295227050781, 1076.73291015625, 614.5010986328125]"
C:/R_projects/mothz/beetle_image_stack\frame_0002.jpg,beetle,0.14180615544319153,"[687.6321411132812, 78.46680450439453, 695.6885375976562, 85.70801544189453]"
C:/R_projects/mothz/beetle_image_stack\frame_0002.jpg,beetle,0.13821090757846832,"[685.3460083007812, 78.80767822265625, 696.409423828125, 91.3625717163086]"
C:/R_projects/mothz/beetle_image_stack\frame_0003.jpg,beetle,0.5642957091331482,"[1022.313232421875, 542.7891235351562, 1031.5164794921875, 559.7686157226562]"
C:/R_projects/mothz/beetle_image_stack\frame_0003.jpg,beetle,0.5306333899497986,"[977.9243774414062, 516.5310668945312, 991.9168090820312, 528.1260986328125]"
C:/R_projects/mothz/beetle_image_stack\frame_0003.jpg,beetle,0.4132753610610962,"[966.8867797851562, 554.370361328125, 978.4407958984375, 561.441650390625]"
